filename,wellID,counts
data/assayplate_3765/AssayPlate_Corning_3765_F24_T0001F001L01A01Z01C01.tif,F24,1009
data/assayplate_3765/AssayPlate_Corning_3765_K07_T0001F001L01A01Z01C01.tif,K07,910
data/assayplate_3765/AssayPlate_Corning_3765_C02_T0001F001L01A01Z01C01.tif,C02,1288
data/assayplate_3765/AssayPlate_Corning_3765_J06_T0001F001L01A01Z01C01.tif,J06,631
data/assayplate_3765/AssayPlate_Corning_3765_G24_T0001F001L01A01Z01C01.tif,G24,1076
data/assayplate_3765/AssayPlate_Corning_3765_E03_T0001F001L01A01Z01C01.tif,E03,604
data/assayplate_3765/AssayPlate_Corning_3765_O17_T0001F001L01A01Z01C01.tif,O17,791
data/assayplate_3765/AssayPlate_Corning_3765_C20_T0001F001L01A01Z01C01.tif,C20,1077
data/assayplate_3765/AssayPlate_Corning_3765_O11_T0001F001L01A01Z01C01.tif,O11,491
data/assayplate_3765/AssayPlate_Corning_3765_G04_T0001F001L01A01Z01C01.tif,G04,608
data/assayplate_3765/AssayPlate_Corning_3765_N13_T0001F001L01A01Z01C01.tif,N13,784
data/assayplate_3765/AssayPlate_Corning_3765_L19_T0001F001L01A01Z01C01.tif,L19,421
data/assayplate_3765/AssayPlate_Corning_3765_K09_T0001F001L01A01Z01C01.tif,K09,805
data/assayplate_3765/AssayPlate_Corning_3765_M14_T0001F001L01A01Z01C01.tif,M14,567
data/assayplate_3765/AssayPlate_Corning_3765_A02_T0001F001L01A01Z01C01.tif,A02,1380
data/assayplate_3765/AssayPlate_Corning_3765_H05_T0001F001L01A01Z01C01.tif,H05,627
data/assayplate_3765/AssayPlate_Corning_3765_E10_T0001F001L01A01Z01C01.tif,E10,1273
data/assayplate_3765/AssayPlate_Corning_3765_K01_T0001F001L01A01Z01C01.tif,K01,1042
data/assayplate_3765/AssayPlate_Corning_3765_N21_T0001F001L01A01Z01C01.tif,N21,602
data/assayplate_3765/AssayPlate_Corning_3765_B02_T0001F001L01A01Z01C01.tif,B02,1348
data/assayplate_3765/AssayPlate_Corning_3765_I23_T0001F001L01A01Z01C01.tif,I23,833
data/assayplate_3765/AssayPlate_Corning_3765_F16_T0001F001L01A01Z01C01.tif,F16,1143
data/assayplate_3765/AssayPlate_Corning_3765_C11_T0001F001L01A01Z01C01.tif,C11,1195
data/assayplate_3765/AssayPlate_Corning_3765_C24_T0001F001L01A01Z01C01.tif,C24,873
data/assayplate_3765/AssayPlate_Corning_3765_N06_T0001F001L01A01Z01C01.tif,N06,452
data/assayplate_3765/AssayPlate_Corning_3765_D20_T0001F001L01A01Z01C01.tif,D20,1055
data/assayplate_3765/AssayPlate_Corning_3765_D19_T0001F001L01A01Z01C01.tif,D19,1126
data/assayplate_3765/AssayPlate_Corning_3765_A10_T0001F001L01A01Z01C01.tif,A10,1358
data/assayplate_3765/AssayPlate_Corning_3765_J03_T0001F001L01A01Z01C01.tif,J03,883
data/assayplate_3765/AssayPlate_Corning_3765_J08_T0001F001L01A01Z01C01.tif,J08,1236
data/assayplate_3765/AssayPlate_Corning_3765_P19_T0001F001L01A01Z01C01.tif,P19,447
data/assayplate_3765/AssayPlate_Corning_3765_J16_T0001F001L01A01Z01C01.tif,J16,954
data/assayplate_3765/AssayPlate_Corning_3765_D21_T0001F001L01A01Z01C01.tif,D21,896
data/assayplate_3765/AssayPlate_Corning_3765_F19_T0001F001L01A01Z01C01.tif,F19,1107
data/assayplate_3765/AssayPlate_Corning_3765_I05_T0001F001L01A01Z01C01.tif,I05,476
data/assayplate_3765/AssayPlate_Corning_3765_I07_T0001F001L01A01Z01C01.tif,I07,1015
data/assayplate_3765/AssayPlate_Corning_3765_M12_T0001F001L01A01Z01C01.tif,M12,701
data/assayplate_3765/AssayPlate_Corning_3765_P18_T0001F001L01A01Z01C01.tif,P18,770
