filename,wellID,counts,well,wellNum
data/assayplate_3765/AssayPlate_Corning_3765_G16_T0001F001L01A01Z01C01.tif,G16,1126,G,16
data/assayplate_3765/AssayPlate_Corning_3765_G13_T0001F001L01A01Z01C01.tif,G13,996,G,13
data/assayplate_3765/AssayPlate_Corning_3765_G10_T0001F001L01A01Z01C01.tif,G10,1001,G,10
data/assayplate_3765/AssayPlate_Corning_3765_G19_T0001F001L01A01Z01C01.tif,G19,981,G,19
data/assayplate_3765/AssayPlate_Corning_3765_G02_T0001F001L01A01Z01C01.tif,G02,839,G,02
data/assayplate_3765/AssayPlate_Corning_3765_G17_T0001F001L01A01Z01C01.tif,G17,1316,G,17
data/assayplate_3765/AssayPlate_Corning_3765_G04_T0001F001L01A01Z01C01.tif,G04,608,G,04
data/assayplate_3765/AssayPlate_Corning_3765_G08_T0001F001L01A01Z01C01.tif,G08,1317,G,08
data/assayplate_3765/AssayPlate_Corning_3765_G14_T0001F001L01A01Z01C01.tif,G14,868,G,14
data/assayplate_3765/AssayPlate_Corning_3765_G21_T0001F001L01A01Z01C01.tif,G21,677,G,21
data/assayplate_3765/AssayPlate_Corning_3765_G12_T0001F001L01A01Z01C01.tif,G12,922,G,12
data/assayplate_3765/AssayPlate_Corning_3765_G03_T0001F001L01A01Z01C01.tif,G03,757,G,03
data/assayplate_3765/AssayPlate_Corning_3765_G07_T0001F001L01A01Z01C01.tif,G07,1144,G,07
data/assayplate_3765/AssayPlate_Corning_3765_G11_T0001F001L01A01Z01C01.tif,G11,727,G,11
data/assayplate_3765/AssayPlate_Corning_3765_G24_T0001F001L01A01Z01C01.tif,G24,1076,G,24
data/assayplate_3765/AssayPlate_Corning_3765_G15_T0001F001L01A01Z01C01.tif,G15,930,G,15
data/assayplate_3765/AssayPlate_Corning_3765_G09_T0001F001L01A01Z01C01.tif,G09,1200,G,09
data/assayplate_3765/AssayPlate_Corning_3765_H14_T0001F001L01A01Z01C01.tif,H14,725,H,14
data/assayplate_3765/AssayPlate_Corning_3765_H15_T0001F001L01A01Z01C01.tif,H15,913,H,15
